model,language,k,epoch,lr,batch,acc
XLMR base,en,0,5,5e-5,8,51.82815356
,hi,0,5,5e-5,8,48
,id,0,5,5e-5,8,50.35087719
,jv,0,5,5e-5,8,51.83333333
,kn,0,5,5e-5,8,49.91652755
,su,0,5,5e-5,8,43.66666667
,sw,0,5,5e-5,8,52.9143898
,yo,0,5,5e-5,8,49.17808219
XLMR base,en,0,20,5e-6,32,73.40036563
,hi,0,20,5e-6,32,59.5
,id,0,20,5e-6,32,67.89473684
,jv,0,20,5e-6,32,52.66666667
,kn,0,20,5e-6,32,52.17028381
,su,0,20,5e-6,32,52.66666667
,sw,0,20,5e-6,32,52.09471767
,yo,0,20,5e-6,32,52.46575342
XLMR large,en,0,20,5e-6,8,50.36563071
,hi,0,20,5e-6,8,49.4
,id,0,20,5e-6,8,48.50877193
,jv,0,20,5e-6,8,52
,kn,0,20,5e-6,8,49.91652755
,su,0,20,5e-6,8,31.33333333
,sw,0,20,5e-6,8,49.18032787
,yo,0,20,5e-6,8,50
